sample_index,label
img_0000.png,Luminal B
img_0001.png,Luminal B
img_0002.png,Luminal B
img_0003.png,Luminal A
img_0004.png,Luminal A
img_0005.png,Luminal B
img_0006.png,Triple negative
img_0007.png,HER2(+)
img_0008.png,Luminal A
img_0009.png,Luminal B
img_0010.png,HER2(+)
img_0011.png,Luminal A
img_0012.png,Luminal B
img_0013.png,Luminal B
img_0014.png,Luminal B
img_0015.png,Luminal A
img_0016.png,Triple negative
img_0017.png,Triple negative
img_0018.png,Luminal A
img_0019.png,Luminal B
img_0020.png,Luminal B
img_0021.png,Luminal B
img_0022.png,Luminal A
img_0023.png,Triple negative
img_0024.png,Luminal B
img_0025.png,Luminal A
img_0026.png,HER2(+)
img_0027.png,Luminal A
img_0028.png,Luminal B
img_0029.png,Luminal A
img_0030.png,HER2(+)
img_0031.png,Luminal A
img_0032.png,Luminal B
img_0033.png,Triple negative
img_0034.png,Luminal B
img_0035.png,HER2(+)
img_0036.png,Luminal B
img_0037.png,Luminal A
img_0038.png,Luminal A
img_0039.png,Luminal B
img_0040.png,Luminal B
img_0041.png,Triple negative
img_0042.png,Luminal A
img_0043.png,HER2(+)
img_0044.png,Triple negative
img_0045.png,Luminal B
img_0046.png,Luminal A
img_0047.png,Luminal A
img_0048.png,HER2(+)
img_0049.png,Luminal A
img_0050.png,Luminal B
img_0051.png,Luminal B
img_0052.png,HER2(+)
img_0053.png,Luminal A
img_0054.png,Luminal A
img_0055.png,Luminal B
img_0056.png,HER2(+)
img_0057.png,Luminal B
img_0058.png,HER2(+)
img_0059.png,Luminal B
img_0060.png,Luminal B
img_0061.png,Luminal A
img_0062.png,Luminal A
img_0063.png,Luminal B
img_0064.png,Luminal A
img_0065.png,Luminal B
img_0066.png,Triple negative
img_0067.png,Luminal A
img_0068.png,Luminal B
img_0069.png,Luminal B
img_0070.png,HER2(+)
img_0071.png,HER2(+)
img_0072.png,Luminal B
img_0073.png,Luminal A
img_0074.png,Triple negative
img_0075.png,Triple negative
img_0076.png,Luminal B
img_0077.png,Triple negative
img_0078.png,Luminal A
img_0079.png,Luminal B
img_0080.png,Luminal A
img_0081.png,HER2(+)
img_0082.png,Luminal B
img_0083.png,Luminal A
img_0084.png,Triple negative
img_0085.png,Luminal A
img_0086.png,Luminal A
img_0087.png,HER2(+)
img_0088.png,Luminal B
img_0089.png,Luminal B
img_0090.png,Luminal B
img_0091.png,HER2(+)
img_0092.png,HER2(+)
img_0093.png,Luminal B
img_0094.png,Luminal A
img_0095.png,Luminal A
img_0096.png,Luminal B
img_0097.png,Luminal A
img_0098.png,Luminal B
img_0099.png,Luminal B
img_0100.png,Luminal A
img_0101.png,HER2(+)
img_0102.png,Luminal B
img_0103.png,Luminal A
img_0104.png,Luminal B
img_0105.png,Luminal A
img_0106.png,Triple negative
img_0107.png,Luminal A
img_0108.png,Luminal B
img_0109.png,Luminal B
img_0110.png,Luminal A
img_0111.png,Triple negative
img_0112.png,Luminal A
img_0113.png,Luminal B
img_0114.png,Luminal A
img_0115.png,HER2(+)
img_0116.png,Luminal A
img_0117.png,HER2(+)
img_0118.png,Luminal B
img_0119.png,Luminal A
img_0120.png,Luminal A
img_0121.png,Luminal B
img_0122.png,Triple negative
img_0123.png,Triple negative
img_0124.png,Luminal A
img_0125.png,Luminal B
img_0126.png,Luminal A
img_0127.png,HER2(+)
img_0128.png,Luminal A
img_0129.png,Triple negative
img_0130.png,Luminal B
img_0131.png,Triple negative
img_0132.png,HER2(+)
img_0133.png,Luminal B
img_0134.png,Luminal B
img_0135.png,Luminal A
img_0136.png,Luminal A
img_0137.png,Luminal B
img_0138.png,Luminal B
img_0139.png,Triple negative
img_0140.png,Luminal A
img_0141.png,Luminal B
img_0142.png,Luminal A
img_0143.png,Luminal A
img_0144.png,Luminal A
img_0145.png,HER2(+)
img_0146.png,Luminal A
img_0147.png,Luminal B
img_0148.png,Luminal A
img_0149.png,Luminal A
img_0150.png,Triple negative
img_0151.png,Luminal A
img_0152.png,HER2(+)
img_0153.png,HER2(+)
img_0154.png,Luminal A
img_0155.png,Luminal A
